Rider,	Split1,	Split2,	Split3,	Split4,	Speed,	Lap,	Time,	
1,	12327,	38478,	35363,	39480,	156.1,	205648,	93826059,	
1,	5334,	32722,	33255,	37867,	228.3,	149178,	94015237,	
1,	5093,	32237,	31507,	39345,	237.9,	148182,	94203419,	
1,	5155,	30282,	29959,	36827,	235.3,	142223,	94345642,	
1,	5135,	30251,	29904,	36822,	236.8,	142112,	94527754,	
1,	5230,	36733,	38774,	41355,	210.9,	202092,	94729846,	
1,	5141,	30346,	29999,	36949,	235.8,	142435,	94912281,	
1,	5085,	31916,	34472,	41222,	237.4,	152695,	95104976,	
1,	5142,	30315,	29857,	36822,	235.3,	142136,	95247112,	
2,	12121,	43511,	43181,	43320,	145.9,	222133,	93625429,	
2,	5349,	36530,	36352,	40538,	225.5,	158769,	93824198,	
2,	5347,	35397,	34269,	39070,	228.8,	154083,	94018281,	
2,	5268,	0,	0,	49029,	229.3,	200423,	94218704,	
2,	5157,	0,	0,	37389,	234.3,	144966,	94403670,	
2,	5163,	31096,	30596,	37055,	234.8,	143910,	94547580,	
2,	5090,	32409,	33889,	39463,	236.8,	150851,	94738431,	
2,	5153,	31264,	30764,	37567,	236.3,	144748,	94923179,	
2,	5118,	31161,	30509,	37264,	237.4,	144052,	95107231,	
2,	5080,	33966,	33401,	37948,	238.4,	150395,	95257626,	
2,	5105,	31301,	30558,	37449,	237.4,	144413,	95442039,	
5,	11581,	42321,	38234,	41053,	154.1,	213189,	93855740,	
5,	6172,	35219,	34031,	39012,	209.7,	154434,	94050174,	
5,	6133,	37925,	40052,	40676,	210.5,	204786,	94254960,	
5,	5129,	31295,	30690,	37179,	236.8,	144293,	94439253,	
5,	5130,	30872,	30421,	37113,	237.4,	143536,	94622789,	
5,	5103,	34002,	34053,	38549,	237.9,	151707,	94814496,	
5,	5106,	30703,	30454,	37191,	238.4,	143454,	94957950,	
5,	5087,	33945,	33599,	39379,	238.4,	152010,	95149960,	
5,	5085,	30850,	30588,	37061,	237.9,	143584,	95333544,	
6,	12579,	41610,	39058,	42104,	142.1,	215351,	93901865,	
6,	5785,	35040,	35472,	42087,	214.7,	158384,	94100249,	
6,	5227,	33546,	36679,	47403,	233.3,	202855,	94303104,	
6,	5194,	30875,	30305,	36976,	233.8,	143350,	94446454,	
6,	5190,	35563,	37498,	42805,	233.3,	201056,	94647510,	
6,	5197,	30579,	30158,	36976,	233.8,	142910,	94830420,	
6,	5161,	36023,	37397,	42099,	235.3,	200680,	95031100,	
6,	5133,	30574,	35055,	41096,	235.8,	151858,	95222958,	
6,	5172,	30526,	30136,	37004,	233.8,	142838,	95405796,	
7,	11633,	44856,	38372,	41763,	122.6,	216624,	93801003,	
7,	5515,	34619,	35250,	37955,	222.2,	153339,	93954342,	
7,	5296,	31260,	30893,	37376,	230.8,	144825,	94139167,	
7,	5214,	30827,	30448,	37552,	232.8,	144041,	94323208,	
7,	5169,	39998,	38653,	40255,	233.8,	204075,	94527283,	
7,	5148,	30788,	30604,	37297,	236.3,	143837,	94711120,	
7,	5211,	35181,	32656,	48280,	231.8,	201328,	94912448,	
